Results Table
Analysis:
Skip lists are more efficiet and faster in terms of execution time as insertion/search is faster than what it would have been if the same list was a singly/doubly linked list. In this 2 level example, I've used 1/2 probability coefficient for element to be on higher level. Even though overall execution time per instruction is faster, it uses lot more memory and we cannot say the same positive comments for memory management.
n		n^3/2		Num of Moves
6808		561732		17243228
1590		63400.9		969513
272			4485.94		30108
3123		174525		3695923
7735		680284		22764891
2009		90047.1		1504494
3850		238886		5824107
3134		175448		3902995
8363		764792		25895072
5272		382792		10440029
1113		37131.5		491018
8631		801847		28031499
776			21616.9		233788
5116		365928		9875366
7716		677779		22441217
5820		444002		12582300
7693		674751		22744743
6939		578023		18058423
5881		451000		12681110
6110		477597		14394684
7393		635669		21119583
144			1728		9377
5085		362607		9992631
177			2354.83		13426
2788		147211		3000816
5412		398141		10921987
62			488.188		2423
3871		240843		5720659
5614		420638		11919283
4894		342370		8851611
2709		140998		2753427
3221		182804		4097255
7338		628589		20850412
8036		720377		24429188
1930		84788.3		1404400
7553		656416		21136624
4263		278338		6835117
893			26685.6		326861
7934		706705		23272017
1904		83080.8		1346889
2049		92749.8		1649044
6725		551491		17268302
7037		590312		18171877
5118		366143		9791704
5455		402895		11469558
2480		123503		2350161
1009		32050.6		407127
6506		524773		15421691
7810		690203		23482024
3292		188882		4156883
8660		805892		28757332
4095		262048		6323703
1159		39457.1		531315
6564		531806		16381001
4583		310259		7850969
1033		33200.9		414605
9131		872524		31247335
9147		874819		31319659
6152		482530		14654760
9443		917624		33453572
8306		756986		25916788
3498		206885		4548373
2359		114576		2177532
1896		82557.7		1403303
5874		450195		13044737
605			14881		151597
455			9705.48		79664
3238		184253		4020116
216			3174.54		22805
8345		762324		26351484
393			7790.92		63430
2467		122533		2277340
9341		902797		33163489
7691		674488		22063728
5831		445261		12764361
5871		449850		12956473
3007		164892		3580456
5724		433061		12306809
2656		136881		2666906
7301		623840		19812469
3883		241964		5853657
4426		294454		7290965
4421		293955		7449236
3752		229823		5377031
925			28132.8		316938
5075		361538		9676566
5149		369474		9894600
2281		108940		2088277
1918		83998.8		1402887
1719		71271.2		1150553
335			6131.51		45132
537			12444		111022
8024		718764		24466920
4550		306914		7853976
608			14991.9		139743
3060		169271		3463711
1569		62149		941234
5948		458729		13060095
4645		316576		8004299
3950		248254		5769707
8574		793917		28275723
1496		57862.5		908776
3662		221604		5113437
1630		65808.4		978615
9393		910346		33075509
8303		756576		26319843
741			20171		217556
3076		170600		3785245
2890		155363		3095007
6587		534603		16474527
1185		40792.2		538652
3040		167614		3556514
3621		217893		4802661
3108		173269		3793602
8535		788507		27515029
6109		477480		14594842
2647		136186		2791140
6396		511520		15581788
7070		594469		18959112
4097		262240		6509841
4363		288189		7089171
6515		525862		16113792
267			4362.82		33488
8447		776343		26945377
9456		919520		33520813
5017		355358		9600516
9924		988622		37511587
8460		778136		26377282
3222		182889		3962180
2264		107725		1907950
2185		102136		1817409
6432		515845		15848019
8497		783246		27033105
4671		319238		8083804
5758		436926		12614846
7402		636830		20574923
6073		473266		13773296
594			14477		142939
3773		231756		5564074
4206		272775		6644084
2441		120601		2383279
9073		864224		31481841
9288		895124		32681073
8407		770835		26005585
8138		734136		25444119
8020		718227		24623253
4639		315963		8462929
1790		75732		1207443
4427		294554		7716277
5276		383228		10368591
3636		219248		5123319
6006		465455		13534441
1147		38845.9		520716
8237		747573		24891458
9737		960811		35382424
7620		665170		22010219
3465		203965		4692292
5612		420413		12335230
2691		139595		2692966
7391		635411		20705652
5149		369474		10059161
4765		328923		8677156
8639		802962		28321953
4399		291763		7272450
2008		89979.9		1552533
4140		266379		6552839
9242		888483		31810465
6342		505056		14960577
5744		435333		12648201
2163		100597		1714321
6183		486182		14129179
4545		306409		7853241
188			2577.73		17213
9260		891080		31671872
4941		347314		9181864
5105		364749		9711500
4022		255072		6381908
6424		514883		15747657
6717		550507		16960847
1371		50764		751912
2819		149673		2999175
6220		490553		14217199
1400		52383.2		727574
4932		346365		9396479
3360		194764		4289572
640			16190.9		170090
2121		97681.2		1746262
3871		240843		5680805
557			13145.7		122860
3438		201585		4534375
9318		899465		33002214
5491		406890		11419871
7574		659156		22262194
256			4096		30662
2269		108082		1979834
1234		43348.4		594458
2308		110880		1918629
1916		83867.4		1422739
2609		133263		2569647
7823		691927		23220149
8620		800315		28495638
8527		787398		27352103
2771		145866		2977681
6038		469180		13379368
